line,company_current,company_history,year_start,year_end,status,notes
68,COTSUR,AMDET(1955-1975); COTSUR(1975-1992),1975,1992,inactive,became bus in 1975; became 468 (COETC) in 1992
71,UCOT,AMDET(1948-1975); Raincoop(1975-2016); UCOT(2016-present),1948,,active,AMDET inaugural bus line (1948);Supresión 2016 + Reapertura 2016 = brief Raincoop closure; currently active
72,AMDET,AMDET(1948-1956),1948,1956,inactive,AMDET inaugural bus line (1948); replaced by line 4; suppression year unknown but taken to be start of line 4
73,AMDET,AMDET(1948-1975),1948,1975,inactive,AMDET inaugural bus line (1948);
74,AMDET,AMDET(1948-1975),1948,1975,inactive,AMDET inaugural bus line (1948);
75,AMDET,AMDET(1948-1975),1948,1975,inactive,AMDET inaugural bus line (1948);
76,COETC,AMDET(1948-1975); COTSUR(1975-1992); Raincoop(1992-2016); COETC(2016-present),1948,,active,AMDET inaugural bus line (1948)
77,CUTCSA,AMDET(1948-1975); Raincoop(1975-2016); CUTCSA(2016-2020),1948,2020,inactive,AMDET inaugural bus line (1948); suppressed 2020
78,AMDET,AMDET(1949-1955),1949,1955,inactive,replaced by line 64 in 1955
79,UCOT,AMDET(1949-1975); Raincoop(1975-2016); UCOT(2016-present),1949,,active,
80,AMDET,AMDET(1949-1975),1949,1975,inactive,Ciudadela - Larrañaga
81,AMDET,AMDET(1949-1975),1949,1975,inactive,
82,COTSUR,AMDET(1949-1975); COTSUR(1975-1992),1949,1992,inactive,became COME's line 582 in 1992
83,AMDET,AMDET(1949-1975),1949,1975,inactive,
84,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,
85,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,
86,AMDET,AMDET(1952-1955),1948,1955,inactive,became line 66 in 1955
87,AMDET,AMDET(1954-1955),1948,1955,inactive,became line 64 in 1955
88,AMDET,AMDET(1955-1975),1955,1975,inactive,
89,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Maroñas - Carrasco del Sauce; interurbana
90,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Estación Unión - Maroñas; local
91,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Paso Molino - Millán; local
92,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Capurro - Reducto; local
93,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Paso Molino - Tomkinson y Simón Martínez; local
94,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Malvín - Carrasco; local
95,COTSUR,AMDET(1948~1975-1975); COTSUR(1975-1992),1948~1975,1992,inactive,became COETC's line 495 in 1992
96,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,became UCOT's line 396 in 1975
97,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Paso Molino - Ganaderos y Yugoeslavia; local
100,CUTCSA,CUTCSA(1939-present),1939,,active,not in 1938 letter-to-number renumbering; earliest possible 1939
101,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-2008),~1928,2008,inactive,
102,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-present),~1928,,active,
103,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-present),~1928,,active,
104,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-present),~1928,,active,
105,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-present),~1928,,active,1920s start approximate
106,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-2019),~1928,2019,inactive,Línea A-I route; suppressed 2019; replaced by L36/L46
107,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-2005),~1928,2005,inactive,Línea A route Aj; CUTCSA from 1937; suppressed with 108
108,CUTCSA,Pre-CUTCSA(~1928-1937); CUTCSA(1937-2005),~1928,2005,inactive,Línea A route Ak; CUTCSA from 1937; suppressed with 107
109,CUTCSA,CUTCSA(1937-present),1937,,active,
110,CUTCSA,CUTCSA(1937-present),1937,,active,
111,CUTCSA,CUTCSA(1939-present),1939,,active,
112,CUTCSA,CUTCSA(1939-present),1939,,active,
113,CUTCSA,CUTCSA(1939-present),1939,,active,
114,CUTCSA,CUTCSA(1939-2002),1939,2002,inactive,suppressed 2002
115,CUTCSA,CUTCSA(1939-present),1939,,active,
116,CUTCSA,Pre-CUTCSA(1930-1937); CUTCSA(1937-present),1930,,active,Linea B
117,CUTCSA,Pre-CUTCSA(1930-1937); CUTCSA(1937-present),1930,,active,Linea B
118,CUTCSA,Pre-CUTCSA(1930-1937); CUTCSA(1937-unknown),1930,unknown,inactive,Línea B-B route; suppression date unknown
121,CUTCSA,CUTCSA(1937-present),1937,,active,
124,CUTCSA,CUTCSA(2021-present),2021,,active,created 2021 to replace D2 semidirecto
125,CUTCSA,Pre-CUTCSA(1928-1937); CUTCSA(1937-present),1928,,active,Linea D
126,CUTCSA,Pre-CUTCSA(1928-1937); CUTCSA(1937-2019),1928,2019,inactive,Linea D;suppressed March 2019; replaced by L26
127,CUTCSA,Pre-CUTCSA(1928-1937); CUTCSA(1937-present),1928,,active,Linea D;1920s start approximate
128,CUTCSA,Pre-CUTCSA(1928-1937); CUTCSA(1937-present),1928,,active,Linea D
129,CUTSCA,Pre-CUTCSA(1928-1937); CUTCSA(1937-1990),1928,1990,inactive,Linea D; Weekend/holiday local; suppressed ~1990
130,CUTCSA,Pre-CUTCSA(1931-1937); CUTCSA(1937-present),1931,,active,
131,CUTCSA,Pre-CUTCSA(1925-1937); CUTCSA(1937-1997),1925,1997,inactive,Línea D route; suppressed 4 Dec 1997; replaced by L3
